date,fr_gb,gb_fr,fr_cwe,cwe_fr,fr_ch,ch_fr,fr_it,it_fr,fr_es,es_fr,export_france,import_france
2005-03-09,0.0,-1594.0,2394.0,-4041.0,3125.0,-1384.0,2401.0,-700.0,928.0,-115.0,8848.0,-7834.0
2019-11-08,2000.0,-200.0,207.0,-1872.2,1789.8,-780.3,2689.0,0.0,400.0,-2200.0,7085.0,-5052.0
2005-03-10,1424.0,-259.5,1725.0,-5955.0,2987.0,-1841.0,2243.0,-340.0,1401.0,-2.0,9780.0,-8397.5
2010-12-23,2000.0,0.0,3644.0,-793.0,3341.0,-705.0,1504.0,-359.0,287.0,-655.0,10776.0,-2512.0
2019-11-09,2000.0,-447.0,1394.4,-4519.6,2052.9,-298.0,2977.0,0.0,0.0,-1607.3,8423.0,-6871.0
2005-03-11,771.0,-35.0,1858.0,-5456.0,3102.0,-1651.0,2335.0,-90.0,1403.0,-2.0,9469.0,-7234.0
2010-12-24,2000.0,0.0,1420.0,-1335.0,3236.0,-1255.0,1055.0,-255.0,62.0,-792.0,7773.0,-3637.0
2019-11-10,2000.0,-99.0,170.4,-1867.6,1985.5,-540.0,1530.0,-29.0,690.6,-2400.0,6375.0,-4935.0
2010-12-25,1955.0,0.0,689.0,-2837.0,3219.0,-1197.0,1055.0,0.0,2.0,-732.0,6920.0,-4766.0
2005-03-12,1209.0,0.0,2281.0,-6584.0,2918.0,-1785.0,2531.0,0.0,930.0,-10.0,9869.0,-8379.0
2019-11-11,858.0,-527.0,1827.95,-202.05,2828.8,-92.9,2948.0,-100.0,2300.0,0.0,10761.0,-921.0
2010-12-26,1964.0,-486.979,1.0,-3304.0,3194.0,-991.0,1020.0,0.0,2.0,-732.0,6181.0,-5513.978999999999
2005-03-13,1175.0,0.0,2210.0,-5325.0,3218.0,-1405.0,2232.0,0.0,779.0,-10.0,9614.0,-6740.0
2019-11-12,2531.0,-1108.0,0.0,-2014.0,1704.3,-2333.1,3401.0,0.0,0.0,-2000.0,7636.0,-7455.0
2005-03-14,789.0,-116.5,2237.0,-5397.0,3175.0,-865.0,2438.0,-400.0,1403.0,-2.0,10042.0,-6780.5
2019-11-13,407.0,-39.0,500.0,-3468.0,1377.7,-53.2,2463.0,-177.0,185.5,-1443.8,4932.0,-5180.0
2005-03-15,150.0,-286.0,2079.0,-3822.0,2976.0,-1073.0,2464.0,-400.0,603.0,-2.0,8272.0,-5583.0
2010-12-27,1560.0,-1212.58,1.0,-3442.0,3194.0,-763.0,1050.0,-5.0,2.0,-732.0,5807.0,-6154.58
2005-03-16,866.0,0.0,1992.0,-2464.0,3069.0,-892.0,2448.0,0.0,973.0,-2.0,9348.0,-3358.0
2019-11-14,2000.0,-148.0,401.05,-3899.4,2412.7,-77.2,2770.0,0.0,14.4,-1692.6,7597.0,-5816.0
2010-12-28,1757.0,-81.0,1.0,-3470.0,3194.0,-1242.0,1524.0,-270.0,2.0,-732.0,6478.0,-5795.0
2019-11-15,486.0,-2000.0,0.05,-2497.6,0.0,-1527.0,1045.0,0.0,0.0,-2000.0,1531.0,-8024.0
2005-03-17,1821.0,0.0,2696.0,-2126.0,2984.0,-661.0,2469.0,0.0,954.0,-17.0,10924.0,-2804.0
2010-12-29,1785.0,-5.0,1183.0,-2888.0,3194.0,-910.0,1499.0,-315.0,2.0,-732.0,7663.0,-4850.0
2019-11-16,2000.0,0.0,50.0,-4375.75,896.4,-171.8,3011.0,0.0,9.6,-1753.3,5966.0,-6299.0
2005-03-18,1948.0,0.0,2697.0,-1534.0,2883.0,-638.0,2469.0,0.0,949.0,-17.0,10946.0,-2189.0
2019-11-17,2000.0,0.0,249.8,-6801.8,1407.3,-58.0,1780.0,-9.0,664.4,-1295.4,6100.0,-8163.0
